year,title,keyword,percentages_nearby,snippet,url
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,1%,1% 。楼宇经济从无到有，一年时间新增楼宇 14.2 万平方米 、注册企业 100 家，楼宇税收达到 1.5 亿元，呈现出巨大发展潜力 。 （二）着力拓展发展空间，多极联动形成新格局 坚持规划引领，完善提升空间发展战略和城乡总体规划，确立了“天津历史文化名城、京津唐生态绿心、中等规模现代化旅游城市”的发展定位和“一城四区、集约发展，一轴两带、山水生态”的空间布局，为蓟县长远发展打开了空间。蓟县新城全面启动，规划设计、平台搭建、资金筹措 顺利完成，征地、搬迁等群众工作有序进行，还迁安置区正式开工，新城建设成为凝聚全县力量,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"37.3%,25%,63%",2011 年全县工业增加值增长 37.3% ，高出服务业增幅 9.1 个百分点。 现代服务业全面提升，推进盘龙谷文化城、滨海盘山体育和生态公园等旅游文化产业大项目，完成了盘山景区新门区等一批旅游基础设施工程，我县被评为“全国休闲农业与乡村旅游示范县” ，年接待游客突破 1000 万人次 ；商贸流通繁荣 活跃，市场体系更加健全，社会消费品零售额达到 100 亿元，年均增长 25% ，服务业比重调整到 63% 。特色农业形成比较优势，新建上仓、侯家营两个市级农业园，全县新发展设施农业 8.1 万亩；邦均苗木花卉 、山区优质,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"12.7%,28.6%,26.7%",点建设，形成模式，抓好示范，促进乡村旅游整体提升。加快圣光、和庚、天一等五星级酒店建设，完成盘山大型实景演出创作编导和硬件建设，投入使用蓟县旅游接待服务中心 ，举办首届黄崖关长城冰雕旅游文化购物节，推进旅游商品开发和市场进景区 ，全方位拓宽消费领域。全 年接待游客 1195 万人次、综合收入 58.5 亿元，分别增长 12.7% 和 28.6% ；社会消费品零售额增速高于全市平均水平，服务业增加值增长 26.7% 。 做精现代农业。围绕服务城市、富裕农民，实施设施农业提升工程，抓好技术帮扶、品种更新、产销衔接，促进现代,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,旅游市场,,设施建设年度任务，抓好有害生物防治， 新增造林 1.3 万亩。积极推进矿山创面综合治理，实施 6 个矿山环境治理项目 。 继续开展奋战 300 天城乡环境综合整治，新建蓟州雕塑园，整修兴华大街，完成城区憩园及府君山门区绿化；加强景区内部管理和周边环境治理，规范旅游市场秩序；着力提升津围公路、中昌南路等干线路环境水平，深入开展市级卫生镇村、文明生态村创建活动，城乡面貌发生更大变化。 （五）积极推动文化大发展大繁荣 不断丰富群众文化生活。加快完善县、镇、村三级文化服务网络，启用蓟州体育馆，改造升级县图书馆、影剧院，管好用好乡镇,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2013,蓟县2013年政府工作报告_政府工作报告__天津市蓟州区人民政府,天津,,划承前启后的关键一年，是我县加快实施“一四五五”奋斗目标和工作思路、全力打好六个攻坚战的重要一年。政府工作的指导思想是：高举中国特色社会主义伟大旗帜，以邓小平理论、“三个代表”重要思想、科学发展观为指导，全面贯彻落实党的十八大和中央经济工作会议精神，按照中央对天津工作的一系列重要要求和市第十次党代会、市委十届二次全会决策部署，紧紧围绕县委九届四次全会确定的目标任务，牢牢把握主题主线，坚定“生态立县、工业强县、旅游兴县”三个用力方向，加快实施“一四五五”奋斗目标和工作思路，切实推动经济建设、政治建设、文化建设、社会建设、,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html
2013,蓟县2013年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html
2013,蓟县2013年政府工作报告_政府工作报告__天津市蓟州区人民政府,东北,20%,务业发展规划，着力构建全业态、全要素商贸流通体系。加快美域新城、上东城项目建设，吸引名企名店入驻，打造大型商业综合体。新建农产品、旅游产品集散市场，建设汽车交易、煤炭钢材等专业市场。推动驿麓天街、兴华步行街满铺开业，提升现有商业街区业态，促进城市繁荣繁华。新建东北隅、五十八间菜市场，推进超市进农村、进社区，更好方便居民消费。全县社会消费品零售额增长 20% 。 （五）进一步扩大农业比较优势 调高调优农业结构。抓好项目引进、品种优化、存量嫁接，改造提升设施农业 5800 亩，建设放心菜基地 1.5 万亩。实施特色果品提升,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html
2013,蓟县2013年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"60%,20%", 60% 。两个示范工业园实施了一批产业重点项目和基础设施工程，载体功能日臻完善，成为工业强县的主战场。 现代服务业上档升级。恒大世纪旅游城开业运营，圣光、唐朝等五星级酒店加快建设，盘山大型实景演出项目启动实施，郭家沟旅游示范村成为全市乡村旅游新亮点。全县接待游客 1152 万人次，综合收入 52 亿元，实现品质效益双提升，旅游兴县步伐日益加快。文化产业载体建设积极推进，盘山书院主体封顶，国家画院创作基地竣工。商贸流通繁荣活跃，限额以上商贸企业达到 176 家，社会消费品零售额增长 20% 。 农业基础地位不断巩固。改,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html
2013,蓟县2013年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"15%,20%",验打造一批精品村，完善配套设施提升一批优质村，严格服务管理规范一批标准村。深化旅游体制机制改革，健全现代企业制度，搞好资本运作，实行统一营销，做大做实旅游集团。完善假日旅游长效管理机制，继续办好渔阳金秋旅游节等特色主题活动，进一步树立蓟县旅游整体形象。全县接待游客 1325 万人次、综合收入 62 亿元，分别增长 15% 和 20% 。 做精文化产业。引入产业实体，尽快出亮点、上层次、见效果。加快重大文化项目建设和运营，投入使用国家画院创作基地，引入书画展示、交易、拍卖产业；建成盘山书院，实现国学开讲；用好盘龙谷文化城,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html
2014,蓟县2014年政府工作报告_政府工作报告__天津市蓟州区人民政府,北京,"65%,30%",实施，乡镇税源经济增势强劲，飞地开发、飞楼招商取得突破，涌现出一批资源共享的新亮点， 65% 的乡镇留成税收超千万元。全员招商体系不断完善，每季度开展重大项目集中签约活动，借重用好首都资源成效明显，全年集中签约重大项目 82 个，总投资 885 亿元，其中来自北京的项目 45 个，总投资 524 亿元。旅游综合配套改革继续深化，搭建了整体营销、精细管理等企业化运营平台，旅游集团资产规模达到 10 亿元，主营业务收入增速超过 30% 。科技型中小企业发展环境持续优化，制订出台八条措施，建立小巨人“一企一策”帮扶机制，百家,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202991.html
2014,蓟县2014年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202991.html
2014,蓟县2014年政府工作报告_政府工作报告__天津市蓟州区人民政府,山东,,明确结构调整重点，推动产业转型升级 坚持高端化、高质化、高新化发展方向，全力打好产业转型升级攻坚战，加快转变发展方式，实现速度、质量和效益的协调统一。 做优现代服务业。深化文旅融合、商旅融合，提升 “ 食住行游购娱 ” 要素建设水平，带动服务业提质增效。启动盘山东路开发，建设长城、八仙山和梨木台新门区，优化旅游线路，引入配套项目，拉长产业链条。按照景村一体、公司介入的发展路径，因地制宜打造一批乡村旅游升级版，建成东山、黄崖关等 5 个精品旅游特色村。加快盘山文化产业园重大项目建设，推出实景演出，启用盘山书院，运营唐华酒,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202991.html
2014,蓟县2014年政府工作报告_政府工作报告__天津市蓟州区人民政府,山东,,划体系，深化细化一批重点规划和专项规划，更好地发挥规划在统筹城乡发展中的引领作用。 进一步打造大路网体系。推动蓟港快速铁路正式开工，推进京秦高速建设，建成塘承高速蓟县段和仓桑路东延线。加快津围北二线、邦喜路调线工程建设，继续改造提升京哈、津围等国省干线，开通燕山东大街与津围北二线、燕山西大街与津围公路两条联络线。打通五十八间路，逐步整修破损市政路和城中村里巷街道。改造调整一批景区路，大修乡村公路 305 公里 。实施路网绿化提升工程，合理搭配苗木灌木，突出大绿效果，形成生态廊道。 进一步完善城乡基础设施。启动新城翠屏山,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202991.html
2014,蓟县2014年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"26.5%,20%",，工业增加值增长 26.5% ，高出全县生产总值增幅 4.5 个百分点。文化旅游融合发展，实景演出项目加快推进，国家画院创作基地投入使用，梨木台成为国家 4A 级景区，乡村旅游升级版建设全面启动，恒大音乐节、阿迪力高空表演等一批市场化旅游活动成功举办。全年接待游客 1295 万人次，实现综合收入 63 亿元。商贸流通繁荣活跃，商业街区加快改造，城乡市场规范提升，社会消费品零售额增长 20% 。农业调整不断深入，发展金银花、蓝莓等特色种植 3.4 万亩，改造提升设施农业 7000 亩，新建放心菜基地 1.3 万亩，州河鲤,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202991.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,北京,,发展科技型中小企业 355 家，累计达到 1322 家。 对接京津冀协同发展工作全方位展开，制定具体行动计划，确定载体平台和用力方向，京津州河绿色科技产业园、新城休闲度假聚集区纳入全市顶层设计，交通、生态、产业等重点领域率先突破。 成立 10 支专业团队，面向北京“点对点”招商攻坚，全县共签约重点项目 80 个，生物医药、磁性材料、绿色食品等特色产业加速集聚，借重用好首都资源取得新成效。 （三）统筹规划建设管理，载体功能持续优化 发挥规划先导作用，编制《中等规模现代化旅游城市发展战略及行动计划》，提升 58 项重点规划,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,山东,25.4%,级 193 家，规上工业产值增长 25.4% 。推进了新一轮工业布局调整， 2 个示范工业园联动开发、相向拓展， 6 个工业分园启动规划建设，进一步打开了工业发展空间。扎实抓好质量兴县，新申办市级名牌产品 7 个。旅游要素建设上档升级，大型实景演出投入运营，盘山东路开发启动实施，八仙山、梨木台综合服务区完成主体工程，核心景区品质得到优化。进一步提升乡村旅游，打造了常州、船舱峪、东山、寺沟 4 个旅游精品村，以村级自主发展为特点的小穿芳峪村乡村旅游模式成为新亮点。全年接待游客 1554 万人次，实现旅游综合收入 79 亿,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,山东,,升级；积极推进与神华集团合作，力争启动建设云计算产业园，努力构建全国最大单体数据中心。深入实施万企转型升级行动，完成企业转型升级 100 家以上，新增规上企业 20 家。 加快旅游业转型升级步伐。统筹旅游要素建设，加快旅游业从景区观光型向休闲度假型转变。推进盘山东路开发，高水平建好八仙山、梨木台综合服务中心，策划引进一批主题游乐、商业配套项目，完善产业链条，提升旅游消费。坚持“党建引领、政策引导、市场运作、公司运营”模式，突出慢调田园生活，实施乡村旅游 “123” 行动计划，打造全景乡村旅游。全年建成 2 个景区化旅游,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,14%,出意见。 一、 2014 年工作回顾 2014 年，是全县加快打造美丽蓟县、建设中等规模现代化旅游城市进程中极不平凡的一年。一年来，面对严峻复杂的经济形势和持续加大的下行压力，我们在市委、市政府和县委的正确领导下，以扎实开展党的群众路线教育实践活动为动力，抢抓京津冀协同发展历史机遇，加快实施 “ 一四五五 ” 奋斗目标和工作思路，进一步深化改革、调整结构、保护生态、统筹城乡、保障民生，经济社会发展取得新成绩。 预计全县生产总值 361 亿元，增长 14% ；县级财政收入 64.3 亿元，其中一般公共预算收入 33.3 ,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,经济发展实施意见，实施了工商登记制度改革，创业活力有效激发，全年新增市场主体 4000 户、民营企业 2300 家。科技创新步伐加快，实施市级以上科技计划项目 58 项，新增专利申请 800 件，新发展科技型中小企业 355 家，累计达到 1322 家。 对接京津冀协同发展工作全方位展开，制定具体行动计划，确定载体平台和用力方向，京津州河绿色科技产业园、新城休闲度假聚集区纳入全市顶层设计，交通、生态、产业等重点领域率先突破。 成立 10 支专业团队，面向北京“点对点”招商攻坚，全县共签约重点项目 80 个，生物医药、磁,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
2015,蓟县2015年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,主体 4000 户、民营企业 2300 家。科技创新步伐加快，实施市级以上科技计划项目 58 项，新增专利申请 800 件，新发展科技型中小企业 355 家，累计达到 1322 家。 对接京津冀协同发展工作全方位展开，制定具体行动计划，确定载体平台和用力方向，京津州河绿色科技产业园、新城休闲度假聚集区纳入全市顶层设计，交通、生态、产业等重点领域率先突破。 成立 10 支专业团队，面向北京“点对点”招商攻坚，全县共签约重点项目 80 个，生物医药、磁性材料、绿色食品等特色产业加速集聚，借重用好首都资源取得新成效。 （三）,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html
